block_index	kind	item_index	style_or_shape	preceding_context	text_or_preview
494	table	130	15x2	E.32 装备强类型运行时载荷（48项） || 运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。 || E.33 怪物技能强类型运行时载荷	monster_skill_id | runtime_payload_json
495	paragraph	365	Heading 2		E.34 召唤物强类型运行时载荷
496	paragraph	366	List Bullet		运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。
497	table	131	8x2	E.33 怪物技能强类型运行时载荷 || E.34 召唤物强类型运行时载荷 || 运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。	summon_archetype | runtime_payload_json
498	paragraph	367	Heading 2		E.35 H009快照语义、字段饱和与区域叠加
499	table	132	16x2	E.34 召唤物强类型运行时载荷 || 运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。 || E.35 H009快照语义、字段饱和与区域叠加	工程字段 | 唯一值 / 执行语义
500	paragraph	368	Heading 2		E.36 第二轮关联扩散审计修订裁决记录（108—170）
501	table	133	64x4	运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。 || E.35 H009快照语义、字段饱和与区域叠加 || E.36 第二轮关联扩散审计修订裁决记录（108—170）	编号 | 级别 | 裁决 | 落点
502	paragraph	369	Heading 2		E.37 第三轮收敛审计修订记录（171—179）
503	table	134	10x4	E.35 H009快照语义、字段饱和与区域叠加 || E.36 第二轮关联扩散审计修订裁决记录（108—170） || E.37 第三轮收敛审计修订记录（171—179）	编号 | 级别 | 发现的漏洞 | 修复裁决与落点
